File -> Method -> CC
..\BL\src\main\java\ru\bmstu\iu7\API\model\AReqCache.java -> setQuestionnaire2 -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java -> getId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java -> getName -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java -> setName -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java -> toString -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java -> equals -> 4
..\BL\src\main\java\ru\bmstu\iu7\API\model\ATag.java -> hashCode -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> equals -> 8
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> hashCode -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> getId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> setId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> getName -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> setName -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> getAge -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> setAge -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> isGender -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> setGender -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> getPassword -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> setPassword -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> getRole -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AUser.java -> setRole -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java -> getId -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java -> setQuestion -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java -> getQuestion -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java -> setTag -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java -> getWeight -> 1
..\BL\src\main\java\ru\bmstu\iu7\API\model\AVariantAnswer.java -> getTag -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java -> delete_questionnaire -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java -> set_active_questionnaire -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java -> get_active_questionnaire -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java -> is_in_black -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java -> is_in_fav -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\QuestionnaireController.java -> compare -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java -> delete_from_cache -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java -> get_req_cache -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java -> setM_req_cache -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\controllers\ReqCacheController.java -> clearAll -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\MainManager.java -> getM_user_manager -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\MainManager.java -> getM_que_manager -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\MainManager.java -> getM_rec_manager -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> set_active_questionnaire -> 4
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> create -> 5
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> add_fav -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> del_fav -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> add_black -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> del_black -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> delete -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> censor -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> get_all_questions -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> get_all_questionnaires -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> delete_user_questionnaires -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> delete_questionnaire -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> get_user_questionnaies -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> append_question -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> append_tag -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> find_tag -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> clear_req_cache -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\QuestionnaireManager.java -> findQuestionnaire -> 4
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> TimerTask -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> run -> 2
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> doGetFriends -> 4
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> filterQuestionnaires -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> get_friends -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> information_comparison -> 1
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> computeVariantSimilarity -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> computeExtendedSimilarity -> 4
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> recommended_questionnaires -> 2
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> processSingleRecommendation -> 3
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> computeHarmonicNorm -> 2
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> shouldAddToCache -> 2
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> logInfo -> 2
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> logWarn -> 2
..\BL\src\main\java\ru\bmstu\iu7\src\managers\RecManager.java -> logError -> 2
..\BL\src\main\java\ru\bmstu\iu7\src\managers\UserManager.java -> register -> 6
..\BL\src\main\java\ru\bmstu\iu7\src\managers\UserManager.java -> authorize -> 8
..\BL\src\main\java\ru\bmstu\iu7\src\managers\UserManager.java -> delete -> 4
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> appendQuestion -> 2
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> appendTag -> 2
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> findTag -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> get_all_questions -> 2
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> get_all_questionnaires -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> findUserQuestionnaires -> 2
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> delete -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> deleteQuestionnaire -> 2
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> deleteUserQuestionnaires -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> createQuestionnaire -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> update -> 2
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> findQuestionnaire -> 2
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> insert -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> deleteOneCache -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> findAll -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> ClearAll -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\controllers\QuestionnaireControllerTest.java -> get_tags_names -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java -> defaultUser -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java -> withName -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java -> withPassword -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java -> withAge -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java -> withGender -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserBuilder.java -> build -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserMother.java -> lenaAUser -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\AUserMother.java -> ivanAUser -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireBuilder.java -> buildAInformationTemplate -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> lenaQuestionnaire -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> iraQuestionnaire -> 1
..\BL\src\test\java\ru\bmstu\iu7\src\testdata\QuestionnaireMother.java -> differentVariantQuestionnaire -> 1
